epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,30463.8,0.19801,0.15942,0.84963,0.99294,0.98799,0.99487,0.98915,0.14126,0.10084,0.79605,0.0079705,0.0079705,0.0079705
43,31228.7,0.1951,0.15961,0.84868,0.99536,0.98731,0.99491,0.9893,0.14138,0.10027,0.79572,0.007921,0.007921,0.007921
44,31932.4,0.1916,0.15281,0.84501,0.99715,0.98645,0.99487,0.98868,0.13952,0.09777,0.79681,0.0078715,0.0078715,0.0078715
45,32657.3,0.19183,0.15545,0.84643,0.99735,0.98576,0.99491,0.98896,0.13923,0.09604,0.7961,0.007822,0.007822,0.007822
46,33381,0.19008,0.15477,0.8465,0.99585,0.98869,0.9949,0.98938,0.1396,0.09703,0.79467,0.0077725,0.0077725,0.0077725
47,34092.1,0.18899,0.15271,0.84489,0.99671,0.98861,0.99495,0.9903,0.13549,0.09483,0.7914,0.007723,0.007723,0.007723
48,34797.2,0.18824,0.15386,0.84479,0.99449,0.9903,0.99494,0.98898,0.13742,0.09431,0.79733,0.0076735,0.0076735,0.0076735
49,35511,0.18826,0.15312,0.84564,0.99553,0.98491,0.99485,0.98958,0.13333,0.09601,0.79379,0.007624,0.007624,0.007624
50,36207.7,0.18623,0.15347,0.84563,0.99449,0.99053,0.99493,0.99029,0.12934,0.09145,0.78748,0.0075745,0.0075745,0.0075745
51,36925.8,0.18374,0.15149,0.8436,0.99365,0.99274,0.99494,0.99034,0.12962,0.09093,0.78666,0.007525,0.007525,0.007525
52,37639.6,0.18472,0.1523,0.84429,0.99792,0.98725,0.99493,0.99054,0.12898,0.08975,0.78576,0.0074755,0.0074755,0.0074755
53,38340.8,0.18334,0.14993,0.8444,0.99615,0.99142,0.99496,0.99121,0.12601,0.08798,0.78461,0.007426,0.007426,0.007426
54,39049.1,0.18443,0.15097,0.84478,0.99484,0.99119,0.99493,0.99075,0.12776,0.08747,0.78618,0.0073765,0.0073765,0.0073765
55,39757.9,0.18413,0.15069,0.84575,0.99381,0.99177,0.99494,0.99042,0.12814,0.0881,0.78657,0.007327,0.007327,0.007327
56,40469.2,0.18255,0.1512,0.84509,0.99287,0.99108,0.99492,0.99053,0.13049,0.0899,0.78793,0.0072775,0.0072775,0.0072775
57,41181.4,0.17825,0.14748,0.84144,0.99533,0.98733,0.99489,0.99066,0.13002,0.09091,0.78755,0.007228,0.007228,0.007228
