epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,22883.5,0.15717,0.13061,0.83617,0.99272,0.99451,0.99494,0.98646,0.14657,0.09754,0.81623,0.005842,0.005842,0.005842
44,23435.1,0.15499,0.12982,0.83533,0.98826,0.99617,0.99486,0.98782,0.14016,0.09898,0.80892,0.005743,0.005743,0.005743
45,23980.4,0.15353,0.12875,0.83509,0.98858,0.99492,0.99492,0.98769,0.14355,0.10046,0.81176,0.005644,0.005644,0.005644
46,24510.8,0.15247,0.12835,0.83476,0.98606,0.99486,0.99483,0.98671,0.1465,0.10554,0.81503,0.005545,0.005545,0.005545
47,25049.7,0.15201,0.12595,0.83559,0.98767,0.9928,0.9948,0.98753,0.14303,0.10386,0.80833,0.005446,0.005446,0.005446
48,25605.7,0.15145,0.12679,0.83585,0.98706,0.99404,0.99483,0.9874,0.14235,0.10209,0.80657,0.005347,0.005347,0.005347
49,26146.7,0.15105,0.12645,0.83488,0.99043,0.99228,0.99481,0.98651,0.14812,0.10442,0.81506,0.005248,0.005248,0.005248
50,26686,0.1488,0.12448,0.83332,0.99044,0.99503,0.99488,0.98853,0.13643,0.09796,0.80265,0.005149,0.005149,0.005149
51,27223.9,0.14583,0.12182,0.83412,0.98975,0.99348,0.99486,0.98832,0.13456,0.09623,0.80315,0.00505,0.00505,0.00505
52,27771,0.14593,0.12057,0.83239,0.99246,0.99365,0.99491,0.98937,0.12997,0.09072,0.79842,0.004951,0.004951,0.004951
53,28310.8,0.14515,0.12202,0.8341,0.99314,0.99372,0.99494,0.9894,0.12937,0.08998,0.79931,0.004852,0.004852,0.004852
54,28859.8,0.14238,0.11909,0.83357,0.9923,0.99463,0.99488,0.98918,0.12954,0.09063,0.79854,0.004753,0.004753,0.004753
55,29409.2,0.14584,0.12029,0.8339,0.99277,0.99314,0.99489,0.98804,0.13317,0.09326,0.80342,0.004654,0.004654,0.004654
56,29943.3,0.1441,0.12028,0.83318,0.99213,0.99468,0.9949,0.98785,0.13476,0.09227,0.80516,0.004555,0.004555,0.004555
57,30491.3,0.14101,0.11778,0.8322,0.99238,0.99485,0.99491,0.98812,0.13361,0.09099,0.80343,0.004456,0.004456,0.004456
58,31053.3,0.13967,0.11723,0.83161,0.9923,0.99474,0.99492,0.98855,0.13195,0.08932,0.80229,0.004357,0.004357,0.004357
59,31597.8,0.13788,0.11602,0.83262,0.99434,0.99411,0.99494,0.9889,0.13074,0.08707,0.80049,0.004258,0.004258,0.004258
60,32146.1,0.13872,0.11609,0.83146,0.99248,0.99559,0.99494,0.98927,0.12941,0.08643,0.79822,0.004159,0.004159,0.004159
61,32660.8,0.13611,0.11514,0.83145,0.99362,0.99537,0.99494,0.98952,0.12808,0.0859,0.79646,0.00406,0.00406,0.00406
62,33164,0.13764,0.11678,0.83271,0.99325,0.99554,0.99493,0.98956,0.12902,0.08669,0.79694,0.003961,0.003961,0.003961
63,33672.8,0.13507,0.11461,0.82889,0.99222,0.9952,0.99492,0.98959,0.13041,0.08689,0.79709,0.003862,0.003862,0.003862
64,34184.1,0.13217,0.11124,0.83005,0.99213,0.99512,0.99492,0.98977,0.13077,0.08719,0.79599,0.003763,0.003763,0.003763
65,34686.1,0.13174,0.11089,0.83045,0.99213,0.99497,0.99492,0.98969,0.1305,0.08699,0.79551,0.003664,0.003664,0.003664
66,35207.1,0.13159,0.10953,0.83117,0.99145,0.99495,0.99491,0.98948,0.13159,0.08726,0.79613,0.003565,0.003565,0.003565
67,35710.1,0.12945,0.1094,0.83025,0.99137,0.99503,0.99492,0.98948,0.13302,0.08813,0.79726,0.003466,0.003466,0.003466
68,36251,0.1292,0.10952,0.82926,0.99165,0.99571,0.99493,0.98948,0.13403,0.08831,0.7978,0.003367,0.003367,0.003367
69,36787.8,0.12924,0.10877,0.83015,0.9923,0.99534,0.99493,0.98937,0.13549,0.0901,0.79909,0.003268,0.003268,0.003268
70,37318.4,0.12836,0.10722,0.82981,0.99265,0.99555,0.99494,0.98943,0.13535,0.08977,0.79885,0.003169,0.003169,0.003169
71,37831.7,0.12649,0.10544,0.82985,0.99319,0.99537,0.99494,0.98936,0.13461,0.08978,0.79758,0.00307,0.00307,0.00307
72,38362.6,0.12544,0.1049,0.82912,0.99296,0.99554,0.99494,0.98931,0.13376,0.08887,0.79723,0.002971,0.002971,0.002971
73,38875.8,0.12391,0.10397,0.8283,0.99319,0.99537,0.99494,0.98949,0.1334,0.08878,0.79758,0.002872,0.002872,0.002872
74,39404.7,0.12247,0.10279,0.82913,0.99298,0.99501,0.99494,0.98955,0.13307,0.08875,0.79777,0.002773,0.002773,0.002773
75,39927.4,0.12309,0.10408,0.82916,0.99366,0.99419,0.99494,0.9896,0.13277,0.08845,0.79779,0.002674,0.002674,0.002674
76,40446.9,0.12156,0.10142,0.82937,0.9935,0.99383,0.99494,0.9896,0.13184,0.08763,0.79732,0.002575,0.002575,0.002575
77,40966.4,0.11891,0.09917,0.82655,0.99349,0.99418,0.99494,0.9896,0.13114,0.08691,0.79723,0.002476,0.002476,0.002476
